trial_id,x1,x2,x3,x4,x5,objective
000000,-5.0,-5.0,-5.0,-5.0,-1.254598811526375,101.57401817788339
000001,4.507143064099161,2.3199394181140507,0.986584841970366,-3.439813595575635,-3.4400547966379733,50.33610173056113
000002,-4.419163878318005,3.6617614577493516,1.0111501174320878,2.0807257779604544,-4.7941550570419755,61.2732733909025
000003,4.699098521619943,3.324426408004218,-2.8766088932172384,-3.181750327928994,-3.165954901465662,61.555022170053775
000004,-1.9575775704046228,0.24756431632237863,-0.6805498135788426,-2.0877085980195806,1.118528947223795,9.966180279652084
000005,-3.6050613934795814,-2.0785535146478185,-1.336381567063083,-0.43930015782964027,2.8517596139301364,27.42828558110983
000006,-3.003262178416403,0.14234438413611628,0.9241456886204249,-4.5354958728000225,1.0754485190143832,31.62120321903351
000007,-3.294758763127085,-4.349484070147205,4.488855372533333,4.656320330745594,3.0839734811646107,81.1154809942297
000008,-1.9538623082662934,-4.023278859936161,1.8423302651215687,-0.5984750626039865,-3.7796176515522117,38.04221350273971
000009,-0.048230898887298146,-4.656114788847816,4.093204020787821,-2.412200183999831,1.6252228435398202,46.89610932118089
